Source asset path/url,Target WP path,Type,Connection,Comment
static/tokens.css,assets/css/tokens.css,CSS,wp_enqueue_style(sb-alpha-tokens),Локализовано в Alpha; отсутствующие Cygre-Book/Light по-прежнему не подключаются.
static/motion.css,assets/css/motion.css,CSS,wp_enqueue_style(sb-alpha-motion),Базовые компоненты и анимация из source.
static/figure.css,assets/css/figure.css,CSS,wp_enqueue_style(sb-alpha-figure),Локальный CSS.
static/footer.css,assets/css/footer.css,CSS,wp_enqueue_style(sb-alpha-footer),Локальный CSS.
static/form.css,assets/css/form.css,CSS,wp_enqueue_style(sb-alpha-form),Локальный CSS.
static/header.css,assets/css/header.css,CSS,wp_enqueue_style(sb-alpha-header),Сохранён как есть ради стабильности Alpha smoke.
static/menu_prod.css,assets/css/menu-prod.css,CSS,wp_enqueue_style(sb-alpha-menu-prod),Локальный CSS.
inline <style> in templates/base.html + templates/inc/footer.html,assets/css/layout.css,CSS,wp_enqueue_style(sb-alpha-layout),Перенесён из inline CSS; без глубокого рефактора на Beta.
Beta-local page styles,assets/css/beta-pages.css,CSS,wp_enqueue_style(sb-alpha-beta-pages),"Новый слой для requisites/write-to-bank/support/tariffs, чтобы не наращивать дубли в header.css/layout.css."
static/motion.js,assets/js/motion.js,JS,wp_enqueue_script(sb-alpha-motion),Локально; копирование значений и toast используются и на Beta-страницах.
static/logo2.png,assets/img/logo2.png,Image,через sb_alpha_asset(),Локальный логотип.
static/assets/icon192.png,assets/img/icon192.png,Image,через sb_alpha_asset(),Локальная иконка/favicon.
static/assets/main_about.png,assets/img/main_about.png,Image,через sb_alpha_asset(),Локальная иллюстрация на home.
https://slavbank.ru/wp-content/uploads/*.pdf|*.xls (reporting),left external,Document links,inside page-otchetnost.php,"Осознанное исключение: контентные документы отчетности, не theme assets."
https://slavbank.ru/wp-content/uploads/*.pdf (tariffs),left external,Document links,inside page-tarify-banka.php,Осознанное исключение: тарифные документы и PDF-файлы.
https://slavbank.ru/tarify-banka-html/*.html,left external,External pages,inside page-tarify-banka.php + menu,Подстраницы тарифов еще не портированы; остаются внешними fallback/links.
https://ved.slavbank.ru/,left external,External service,sb_alpha_url(client-bank-login),Осознанное исключение: внешний сервис ВЭД/ДБО.
https://dbo.slavbank.ru:20101/ + https://dbo1.slavbank.ru:20101/,left external,External service,sb_alpha_url(client-bank-primary-login|client-bank-backup-login),Осознанные исключения для прямого входа и резервного входа в Клиент-Банк.
https://www.ammyy.com/ru/,left external,External service,sb_alpha_url(remote-support),Осознанное исключение: удаленное управление.
https://yandex.ru/maps/... + https://www.google.com/maps/search/...,left external,Map links,inside page-kontakty.php,Осознанное исключение: внешние карты.
http://www.cbr.ru/Интернет-приемная,left external,External reference,inside page-rekvizity-banka.php,Осознанное исключение: интернет-приемная Банка России.
